timestep	potential_energy	temperature
0	-0.04016837478	0
100000	-459.8035583	0.7181632519
200000	-729.0820312	0.9124088883
300000	-913.5316162	0.9803406596
400000	-1091.032227	1.000553846
500000	-1215.819336	1.010716796
600000	-1371.218018	1.012865782
700000	-1583.480469	1.011029243
800000	-1732.272949	1.017065287
900000	-1874.110352	1.011684179
1000000	-2041.591553	1.031800747
1100000	-2222.551758	1.021632791
1200000	-2415.594238	0.9950889945
1300000	-2598.2771	1.009752274
1400000	-2838.121094	1.004337788
1500000	-3043.177246	1.014544368
1600000	-3233.46582	1.018862128
1700000	-3401.718262	1.009002924
1800000	-3545.44165	1.01734519
1900000	-3651.287598	1.010322094
2000000	-3790.889648	1.01670146
2100000	-3918.592773	1.023812294
2200000	-4041.180908	1.025377631
2300000	-4214.699219	1.038643241
2400000	-4354.287109	1.023524284
2500000	-4529.980469	1.021234989
2600000	-4579.97168	0.9998878241
2700000	-4690.836426	1.016872525
2800000	-4879.834473	1.013775826
2900000	-4966.799805	0.9896983504
3000000	-5218.970215	1.00946939
3100000	-5354.90625	1.006909966
3200000	-5463.086914	1.009813428
3300000	-5686.893555	1.026048064
3400000	-5736.292969	1.011963606
3500000	-5838.819336	1.001855373
3600000	-6012.475098	0.9948121309
3700000	-6162.604492	1.006135225
3800000	-6181.275391	1.013679743
3900000	-6291.081055	1.012359142
4000000	-6585.292969	1.023228884
4100000	-6647.513672	1.027415276
4200000	-6712.612793	0.9991999269
4300000	-6808.592285	1.00253129
4400000	-6977.459961	1.006429553
4500000	-7016.503418	1.016541362
4600000	-7176.913086	1.016208768
4700000	-7226.007812	0.9998586178
4800000	-7406.649414	1.025018573
4900000	-7419.784668	0.9909242988
5000000	-7532.208496	1.015179515
5100000	-7751.946289	1.015735626
5200000	-7836.513184	1.015400052
5300000	-7826.368652	1.014377475
5400000	-7975.095703	1.00777936
5500000	-8085.047852	0.9833805561
5600000	-8225.834961	1.012452602
5700000	-8304.882812	1.006203413
5800000	-8346.816406	1.007801652
5900000	-8425.123047	1.021413565
6000000	-8556.089844	1.034511328
6100000	-8628.228516	1.008546233
6200000	-8812.158203	1.019908667
6300000	-8732.300781	1.00681448
6400000	-8878.773438	1.016339064
6500000	-8929.65625	1.020265818
6600000	-8998.868164	1.021206021
6700000	-9100.513672	0.9968159199
6800000	-9184.493164	0.9919604063
6900000	-9291.454102	1.011434436
7000000	-9409.960938	1.012729883
7100000	-9455.558594	1.012704253
7200000	-9584.138672	1.005889773
7300000	-9804.664062	1.019176841
7400000	-9824.230469	1.007545114
7500000	-9884.117188	1.002471685
7600000	-9953.870117	1.011072874
7700000	-10077.68848	0.9918481708
7800000	-10159.12988	0.992254734
7900000	-10266.94238	0.9918034077
8000000	-10282.02539	0.9924849868
8100000	-10447.30273	1.012239337
8200000	-10431.36035	1.007341743
8300000	-10596.73926	1.015024543
8400000	-10649.51758	1.007648349
8500000	-10808.63672	1.0146631
8600000	-10932.00977	0.9977498651
8700000	-10901.79785	0.9971450567
8800000	-10972.90234	1.001827478
8900000	-11089.77344	1.005622506
9000000	-11103.59375	0.9965615273
9100000	-11153.85938	1.006652594
9200000	-11266.7793	1.025129557
9300000	-11261.3457	1.002811432
9400000	-11426.04883	1.012659073
9500000	-11439.4502	0.9997773767
9600000	-11425.14844	1.006534934
9700000	-11569.125	1.013782859
9800000	-11573.26562	1.008590937
9900000	-11656.75195	1.01142931
10000000	-11741.37305	1.006160855
10100000	-11703.48242	1.007250071
10200000	-11846.76758	0.9899782538
10300000	-11871.4248	1.002761006
10400000	-11909.22949	1.011072278
10500000	-11894.30176	1.009207249
10600000	-12027.04883	0.9896534681
10700000	-12051.45801	1.000757575
10800000	-12120.59375	1.00055325
10900000	-12155.34277	0.9987171888
11000000	-12125.29688	0.9987152815
11100000	-12167.84961	0.995264709
11200000	-12252.80273	1.003772378
11300000	-12248.05664	1.008464217
11400000	-12226.29102	0.9952097535
11500000	-12231.5918	0.9863430858
11600000	-12295.54688	0.9925054312
11700000	-12260.71289	1.015302896
11800000	-12288.78906	1.010023236
11900000	-12329.04004	1.003673792
12000000	-12314.61621	1.023404956
12100000	-12346.18457	1.012419105
12200000	-12370.96387	1.000160456
12300000	-12306.6416	0.9997767806
12400000	-12357.91699	0.9988678098
12500000	-12390.38477	1.026361585
12600000	-12443.94531	1.015357494
12700000	-12554.9707	1.021013141
12800000	-12581.67773	1.012215257
12900000	-12499.14844	0.9945017099
13000000	-12504.61914	1.002619147
13100000	-12540.07227	0.9982836246
13200000	-12518.54004	1.000337005
13300000	-12556.98828	1.00701952
13400000	-12594.96289	1.003767133
13500000	-12674.27051	1.003042936
13600000	-12629.95508	1.001886249
13700000	-12627.6416	1.006767392
13800000	-12790.28906	0.9917892218
13900000	-12907.15234	1.01714623
14000000	-12891.86621	0.9914990067
14100000	-12910.07227	0.9858685732
14200000	-13012.75586	1.000090241
14300000	-13098.19336	0.9937149286
14400000	-13126.28711	1.007214546
14500000	-13266.11328	1.01412642
14600000	-13322.98633	1.017687201
14700000	-13281.74219	1.010638714
14800000	-13218.4502	1.009133697
14900000	-13238.41699	0.9933500886
15000000	-13307.93945	0.9906890392
15100000	-13301.14844	0.9905607104
15200000	-13170.65918	0.9982560873
15300000	-13313.36035	1.001321435
15400000	-13278.71875	1.010041952
15500000	-13278.41602	0.9970446825
15600000	-13282.73047	0.9997962713
15700000	-13365.29297	1.008320928
15800000	-13268.16992	0.9882085919
15900000	-13421.16992	1.004794359
16000000	-13379.02148	0.9990162849
16100000	-13416.84961	0.9929792881
16200000	-13460.17383	1.007688403
16300000	-13515.80664	1.005401254
16400000	-13512.2002	1.006922722
16500000	-13492.91992	1.024179339
16600000	-13379.69434	1.005520821
16700000	-13403.03906	0.9947519302
16800000	-13456.25098	1.015460253
16900000	-13446.33789	0.9944627285
17000000	-13474.93457	1.001252055
17100000	-13469.96777	1.009605408
17200000	-13543.03711	1.012247443
17300000	-13537.50586	1.027067065
17400000	-13591.58008	1.012012839
17500000	-13488.16797	0.9909726381
17600000	-13534.25684	0.9892488122
17700000	-13574.77539	1.006680012
17800000	-13582.78516	0.9966206551
17900000	-13562.91797	1.006894708
18000000	-13554.57422	1.00789237
18100000	-13479.41992	1.004780531
18200000	-13586.48438	0.9992282987
18300000	-13594.70703	1.000270724
18400000	-13603.77441	0.9926258326
18500000	-13599.39844	1.001679778
18600000	-13650.06055	1.001353383
18700000	-13476.51465	0.9903276563
18800000	-13548.70117	1.000383496
18900000	-13498.34961	1.014277697
19000000	-13482.94629	0.997821033
19100000	-13567.78125	0.9925014973
19200000	-13523.75195	1.003861427
19300000	-13618.16992	1.002343655
19400000	-13616.57422	1.012257218
19500000	-13675.79004	1.010394096
19600000	-13629.03613	0.9967113137
19700000	-13664.13672	1.01009047
19800000	-13784.12891	1.011144161
19900000	-13704.20996	0.9962514043
20000000	-13712.30273	1.012110591
20100000	-13696.93555	0.9977898002
20200000	-13780.36621	1.017350197
20300000	-13723.47852	1.006530881
20400000	-13714.43945	0.9879763126
20500000	-13753.21875	0.9866020083
20600000	-13845.35352	0.9984682202
20700000	-13778.51367	0.9921244383
20800000	-13770.62891	1.006462812
20900000	-13862.32129	1.015468121
21000000	-13859.78906	1.012229443
21100000	-13908.51953	0.9975949526
21200000	-13860.12207	1.012411952
21300000	-13959.69336	0.9977314472
21400000	-13906.77637	1.013446808
21500000	-13789.74023	0.9957194924
21600000	-13828.0332	1.001506925
21700000	-13902.69922	1.015731335
21800000	-13943.73633	1.002060056
21900000	-14004.4541	1.001654744
22000000	-13921.75781	0.9863016009
22100000	-13956.63281	0.9991704226
22200000	-14055.31055	1.008253694
22300000	-13972.03125	1.001164794
22400000	-13901.91406	1.005906343
22500000	-13975.29785	1.000326991
22600000	-14040.46777	1.018480301
22700000	-13900.45508	0.9995542169
22800000	-13983.74023	1.008550525
22900000	-13992.87109	1.004856348
23000000	-14025.78809	1.007604957
23100000	-13973.27344	1.005286574
23200000	-14009.9707	0.9956851602
23300000	-13957.68945	1.008128166
23400000	-13965.26465	1.015664339
23500000	-13950.27344	1.006962061
23600000	-13935.91016	1.011747956
23700000	-13996.55469	0.9908227921
23800000	-14079.83008	1.017845869
23900000	-14098.81055	1.028835177
24000000	-13960.05859	1.008921981
24100000	-13943.30859	0.9877535701
24200000	-14011.41602	1.003326893
24300000	-13941.51953	0.9906956553
24400000	-14105.36621	1.016164422
24500000	-14163.16016	1.001749516
24600000	-14110.77734	0.9980390668
24700000	-14156.61328	1.01873827
24800000	-14063.73242	1.007083893
24900000	-14005.97559	0.9883653522
25000000	-13988.69238	0.9840394258
25100000	-14034.10156	1.005800605
25200000	-14048.75293	0.9949476719
25300000	-14042.70312	0.9938061833
25400000	-14110.5	0.9820453525
25500000	-14155.9375	1.00009048
25600000	-14205.42188	1.012281895
25700000	-14203.5293	1.001820087
25800000	-14189.77051	1.025476217
25900000	-14106.00977	1.009938598
26000000	-14148.17383	1.014328361
26100000	-14179.83887	1.010063767
26200000	-14199.46289	1.000969887
26300000	-14287.83691	0.9910018444
26400000	-14313.61426	1.005659819
26500000	-14361.50977	0.9909023046
26600000	-14354.30273	0.9978874326
26700000	-14427.90234	1.000345707
26800000	-14417.29199	1.004146099
26900000	-14330.69727	1.006724715
27000000	-14287.86914	1.007729173
27100000	-14195.42578	0.9944629073
27200000	-14240.60938	0.9934580326
27300000	-14250.53613	0.9992929101
27400000	-14235.77344	1.01111412
27500000	-14268.32812	1.003734708
27600000	-14329.23828	1.012793899
27700000	-14256.7832	1.009922147
27800000	-14227.08789	0.9953044653
27900000	-14238.42383	1.016049981
28000000	-14346.74316	1.011895895
28100000	-14293.8418	1.002989292
28200000	-14259.3418	1.010819554
28300000	-14250.18164	1.002613664
28400000	-14287.97852	1.007746935
28500000	-14275.8916	0.991850853
28600000	-14169.54492	0.9925287962
28700000	-14194.34375	0.9839555621
28800000	-14095.21973	0.9978103638
28900000	-14221.42773	0.9958024025
29000000	-14233.79688	0.9861551523
29100000	-14274.02344	1.012927294
29200000	-14233.61328	1.001357794
29300000	-14076.90234	1.000672936
29400000	-14065.10742	1.001968622
29500000	-14056.10742	0.9932100177
29600000	-14065.30664	0.9912224412
29700000	-14038.51758	0.9934735894
29800000	-14107.09863	0.9978490472
29900000	-14004.41016	0.9767498374
30000000	-14048.49414	0.9985358715
