# Distance                   Potential                   Force
2.100105000000000359e+02 5.998997627194303641e+04 1.792974416501914850e+06
2.100329603000000418e+02 4.126230344622384291e+04 4.289568675662184833e+05
2.100554206000000477e+02 3.437378082530580286e+04 2.239355495779829798e+05
2.100778809000000535e+02 3.032680922568382812e+04 1.462889887811657973e+05
2.101003412000000594e+02 2.753007317382786641e+04 1.065180108316176338e+05
2.101228015000000653e+02 2.542530556462242384e+04 8.270384806211669638e+04
2.101452618000000712e+02 2.375518071847106330e+04 6.700193361696448119e+04
2.101677221000000770e+02 2.238113657745534874e+04 5.594670736109166319e+04
2.101901824000000829e+02 2.122055109289448592e+04 4.778325684167433792e+04
2.102126427000000888e+02 2.022045305683366678e+04 4.153297723056020914e+04
2.102351030000000947e+02 1.934498323544655796e+04 3.660941958152584994e+04
2.102575633000001005e+02 1.856881582947972493e+04 3.264091956457148262e+04
2.102800236000001064e+02 1.787344611569518020e+04 2.938114527651417666e+04
2.103024839000001123e+02 1.724497108145403399e+04 2.666073149063401070e+04
2.103249442000001181e+02 1.667269890415364716e+04 2.435960997282415337e+04
2.103474045000001240e+02 1.614824315417997423e+04 2.239042197217329522e+04
2.103698648000001299e+02 1.566491304582494740e+04 2.068817454607464242e+04
2.103923251000001358e+02 1.521729127423716272e+04 1.920356942310450540e+04
2.104147854000001416e+02 1.480093452695468659e+04 1.789857322513401596e+04
2.104372457000001475e+02 1.441215645139556727e+04 1.674340011917158336e+04
2.104597060000001534e+02 1.404786739486777878e+04 1.571440987251692059e+04
2.104821663000001593e+02 1.370545407424420591e+04 1.479261408871039748e+04
2.105046266000001651e+02 1.338268786678763354e+04 1.396259553628588219e+04
2.105270869000001710e+02 1.307765396810164202e+04 1.321171367318038574e+04
2.105495472000001769e+02 1.278869599902202208e+04 1.252951202312960231e+04
2.105720075000001827e+02 1.251437221026058432e+04 1.190727023978167563e+04
2.105944678000001886e+02 1.225342050464618114e+04 1.133766142301143736e+04
2.106169281000001945e+02 1.200473024139148765e+04 1.081448703937592109e+04
2.106393884000002004e+02 1.176731931254363553e+04 1.033246977393257839e+04
2.106618487000002062e+02 1.154031535830123721e+04 9.887090123742616925e+03
2.106843090000002121e+02 1.132294026110169216e+04 9.474456369051988077e+03
2.107067693000002180e+02 1.111449725905753985e+04 9.091200263974027621e+03
2.107292296000002239e+02 1.091436016837495481e+04 8.734392726574398694e+03
2.107516899000002297e+02 1.072196431625951482e+04 8.401475212786650445e+03
2.107741502000002356e+02 1.053679887059932116e+04 8.090203487622780813e+03
2.107966105000002415e+02 1.035840031755752534e+04 7.798601268799102399e+03
2.108190708000002473e+02 1.018634688821916825e+04 7.524921787054409833e+03
2.108415311000002532e+02 1.002025377432106689e+04 7.267615736571920024e+03
