# Distance                   Potential                   Force
1.900095000000000312e+02 5.559101670408340578e+04 1.838352123099655611e+06
1.900311549000000184e+02 3.764799572553567123e+04 4.163565517250523553e+05
1.900528098000000057e+02 3.123655019111007641e+04 2.151428308527071204e+05
1.900744646999999929e+02 2.749647006621262335e+04 1.399267312790407450e+05
1.900961195999999802e+02 2.492061198172028162e+04 1.016298182681395556e+05
1.901177744999999675e+02 2.298608089533296879e+04 7.877742924661273719e+04
1.901394293999999547e+02 2.145323028960974261e+04 6.374376573762924818e+04
1.901610842999999420e+02 2.019347653440991417e+04 5.317600517971453519e+04
1.901827391999999293e+02 1.913033518470092531e+04 4.538186059651483811e+04
1.902043940999999165e+02 1.821485801682695819e+04 3.941989484297450690e+04
1.902260489999999038e+02 1.741395475383717712e+04 3.472695776022604696e+04
1.902477038999998911e+02 1.670428063580556773e+04 3.094666307244111522e+04
1.902693587999998783e+02 1.606879350240589702e+04 2.784307977051784837e+04
1.902910136999998656e+02 1.549469858037915765e+04 2.525414998609312170e+04
1.903126685999998529e+02 1.497216239150691035e+04 2.306507902711319184e+04
1.903343234999998401e+02 1.449347584220113276e+04 2.119240283245025785e+04
1.903559783999998274e+02 1.405249133863709721e+04 1.957406312934605376e+04
1.903776332999998147e+02 1.364423336362317059e+04 1.816301219024866077e+04
1.903992881999998019e+02 1.326462239522650816e+04 1.692296958297398669e+04
1.904209430999997892e+02 1.291027495196888958e+04 1.582553386538135783e+04
1.904425979999997764e+02 1.257835601850768580e+04 1.484817176005526744e+04
1.904642528999997637e+02 1.226646829064589474e+04 1.397278992126948106e+04
1.904859077999997510e+02 1.197256779839733827e+04 1.318470217609846077e+04
1.905075626999997382e+02 1.169489875184002995e+04 1.247187060645088241e+04
1.905292175999997255e+02 1.143194261254401135e+04 1.182433967484920322e+04
1.905508724999997128e+02 1.118237784027107227e+04 1.123380866263985081e+04
1.905725273999997000e+02 1.094504775309222896e+04 1.069330468190520332e+04
1.905941822999996873e+02 1.071893462591792013e+04 1.019692981440386211e+04
1.906158371999996746e+02 1.050313863719357687e+04 9.739663567283196244e+03
