timestep	potential_energy	temperature
0	2431821.25	0
50000	2431541	0.3330212831
100000	2431444	0.5495004058
150000	2431397	0.6871616244
200000	2431263.5	0.779517591
250000	2431154	0.8619712591
300000	2431040	0.9043204188
350000	2430948.5	0.9417380691
400000	2430823	0.9628096819
450000	2430749.25	0.9857199192
500000	2430620.5	1.003879905
550000	2430586	1.013242006
600000	2430507.5	1.013061404
650000	2430404	1.005997777
700000	2430285.75	1.016012788
750000	2430147	1.034582019
800000	2430054.5	1.045358419
850000	2429923.5	1.047691464
900000	2429872.5	1.037514567
950000	2429812	1.03926599
1000000	2429723.5	1.038944006
1050000	2429662	1.030569196
1100000	2429532	1.037167788
1150000	2429489.75	1.012304664
1200000	2429341.5	1.011378646
1250000	2429225.75	1.009341836
1300000	2429081	1.017881274
1350000	2428946	1.018087387
1400000	2428797	1.018020391
1450000	2428749.75	1.004086137
1500000	2428652.5	1.013320684
1550000	2428627.75	1.009763002
1600000	2428490.5	1.024893165
1650000	2428445.25	1.028038979
1700000	2428388	1.013221502
1750000	2428322.5	1.012164474
1800000	2428230	1.028370142
1850000	2428159	1.027786255
1900000	2428076.25	1.025667667
1950000	2428023.5	1.014253616
2000000	2427969.75	1.023543477
2050000	2427897.5	1.02856195
2100000	2427728.75	1.032226682
2150000	2427632.75	1.031771421
2200000	2427602.5	1.023903966
2250000	2427493	1.02256155
2300000	2427414	1.028448224
2350000	2427335.75	1.02937603
2400000	2427272.25	1.037944198
2450000	2427160.25	1.037921786
2500000	2427086	1.035006881
2550000	2427046.25	1.020745516
2600000	2427002.75	1.024376154
2650000	2426880.5	1.024400473
2700000	2426820.75	1.027628303
2750000	2426731	1.014975548
2800000	2426637	1.020353675
2850000	2426530.5	1.012432694
2900000	2426383	1.021209121
2950000	2426413.25	1.023229122
3000000	2426244.25	1.023813725
3050000	2426101.75	1.030737162
3100000	2426130	1.023431659
3150000	2426021.75	1.016755819
3200000	2425910	1.014855623
3250000	2425787.5	1.013299465
3300000	2425747	1.020953298
3350000	2425663.75	1.020413041
3400000	2425569	1.021379113
3450000	2425555	1.027116776
3500000	2425457.5	1.01972115
3550000	2425343.75	1.019911289
3600000	2425362	1.014996409
3650000	2425263.5	1.018983126
3700000	2425128	1.013844848
3750000	2425095	1.03103435
3800000	2424994.75	1.027539253
3850000	2424920	1.026286006
3900000	2424928.25	1.017170191
3950000	2424805.5	1.031313539
4000000	2424793.5	1.028546095
4050000	2424571	1.045165539
4100000	2424602	1.038951039
4150000	2424517	1.03295958
4200000	2424428.75	1.028796077
4250000	2424387.25	1.027892113
4300000	2424291.5	1.027855039
4350000	2424249.5	1.018738747
4400000	2424223	1.015720129
4450000	2424093.5	1.024086833
4500000	2424044.5	1.019553304
4550000	2423920.25	1.020167112
4600000	2423843.25	1.01899147
4650000	2423776.25	1.012481928
4700000	2423688.25	1.010391951
4750000	2423689.5	1.014087915
4800000	2423663.5	1.016219854
4850000	2423567.5	1.009494781
4900000	2423507	1.013106823
4950000	2423525.5	1.018639326
5000000	2423451	1.023886919
5050000	2423431.75	1.0217098
5100000	2423278.75	1.035969615
5150000	2423238.5	1.031845808
5200000	2423126.5	1.027054667
5250000	2423063.25	1.027977228
5300000	2423011.5	1.014606833
5350000	2422885	1.015788436
5400000	2422954.5	1.009624362
5450000	2422876	0.9994680882
5500000	2422822.25	1.007163525
5550000	2422755.5	1.00818634
5600000	2422816	0.9971004725
5650000	2422699.5	0.9893730283
5700000	2422643.25	1.00874126
5750000	2422564.5	1.013449311
5800000	2422601	0.994253397
5850000	2422496.5	1.00556767
5900000	2422345.5	1.010742664
5950000	2422427.5	1.007175326
6000000	2422322.5	1.016841769
6050000	2422243.75	1.015177965
6100000	2422274	1.007551908
6150000	2422204.5	1.014865398
6200000	2422137	1.020277262
6250000	2422127	1.022638083
6300000	2422080.5	1.014497876
6350000	2422085.5	1.011382103
6400000	2421956	1.018175364
6450000	2421899.5	1.02515614
6500000	2421874.5	1.027190328
6550000	2421802.75	1.022659779
6600000	2421690.25	1.029092669
6650000	2421753.75	1.006116033
6700000	2421634	1.012283325
6750000	2421560.5	1.006864905
6800000	2421501.75	1.007126689
6850000	2421470	1.014049888
6900000	2421327.5	1.017352104
6950000	2421245.5	1.01820004
7000000	2421223.5	1.022825003
7050000	2421108.5	1.032644153
7100000	2421137.25	1.004939198
7150000	2421105	1.008845568
7200000	2420989	1.001772761
7250000	2420971	0.999612391
7300000	2420916	0.9951680899
7350000	2420926.75	1.00293541
7400000	2420935	1.000384688
7450000	2420803.5	1.02086091
7500000	2420828	1.016857982
7550000	2420816.5	1.020612955
7600000	2420819.5	1.022575855
7650000	2420686	1.015934587
7700000	2420741	1.000944853
7750000	2420698.5	1.014869332
7800000	2420588	1.033523917
7850000	2420460.75	1.034002304
7900000	2420456.75	1.026185751
7950000	2420430	1.01875639
8000000	2420348	1.022565246
8050000	2420352.25	1.007467866
8100000	2420318	0.9946806431
8150000	2420252.5	1.002208352
8200000	2420177	1.018892407
8250000	2420128.25	1.01157093
8300000	2420118.25	0.9990348816
8350000	2420063.25	1.005593657
8400000	2419950.5	1.011296272
8450000	2420089	1.00575006
8500000	2419944.5	1.016284823
8550000	2420002.5	0.9988375306
8600000	2419956.5	0.9952821136
8650000	2419861	0.9991723299
8700000	2419874	0.9955702424
8750000	2419820.5	1.004367948
8800000	2419648.5	1.010953069
8850000	2419691	1.011853576
