# Distance                   Potential                   Force
2.100105000000000359e+02 5.999021968703620223e+04 1.792951264615470776e+06
2.100656151000000307e+02 3.232352647133574646e+04 1.812628466631149640e+05
2.101207302000000254e+02 2.560120408773026793e+04 8.446318554198760830e+04
2.101758453000000202e+02 2.194398842225435146e+04 5.270089884145501128e+04
2.102309604000000149e+02 1.950355202550749891e+04 3.741482444425490394e+04
2.102860755000000097e+02 1.770442169571937848e+04 2.857917547975483831e+04
2.103411906000000045e+02 1.629655518738565115e+04 2.288478239107485933e+04
2.103963056999999992e+02 1.515009018691468737e+04 1.893914198050182677e+04
2.104514207999999940e+02 1.418947436189320615e+04 1.605988511603388179e+04
2.105065358999999887e+02 1.336712915863751186e+04 1.387543761732235726e+04
2.105616509999999835e+02 1.265128283982957328e+04 1.216711220885265357e+04
2.106167660999999782e+02 1.201973681014969588e+04 1.079827080361595290e+04
2.106718811999999730e+02 1.145641209011152387e+04 9.679386591044787565e+03
2.107269962999999677e+02 1.094931491855505010e+04 8.749486429753740595e+03
2.107821113999999625e+02 1.048927744296236779e+04 7.965687481111078341e+03
2.108372264999999572e+02 1.006914564163734758e+04 7.297000244713001848e+03
2.108923415999999520e+02 9.683237330792793728e+03 6.720503778483086535e+03
2.109474566999999467e+02 9.326969669346162846e+03 6.218900605139334402e+03
2.110025717999999415e+02 8.996596593717529686e+03 5.778905525891123034e+03
2.110576868999999363e+02 8.689019609917173511e+03 5.390155517857957420e+03
2.111128019999999310e+02 8.401648773182329023e+03 5.044454851512642563e+03
2.111679170999999258e+02 8.132298767228059660e+03 4.735241463063965057e+03
2.112230321999999205e+02 7.879110016002547127e+03 4.457202729061090395e+03
2.112781472999999153e+02 7.640487963644812226e+03 4.205994203893902522e+03
2.113332623999999100e+02 7.415055750266289579e+03 3.978030630984793788e+03
2.113883774999999048e+02 7.201616906839264630e+03 3.770328536053233165e+03
2.114434925999998995e+02 6.999125641651087790e+03 3.580386195563451111e+03
2.114986076999998943e+02 6.806662947656618599e+03 3.406091063001251314e+03
2.115537227999998890e+02 6.623417221935521411e+03 3.245647624323763011e+03
2.116088378999998838e+02 6.448668417989761110e+03 3.097520631417097320e+03
2.116639529999998786e+02 6.281774989895160616e+03 2.960390036674281419e+03
2.117190680999998733e+02 6.122163061761430072e+03 2.833114920252744014e+03
2.117741831999998681e+02 5.969317385132011623e+03 2.714704392875744361e+03
2.118292982999998628e+02 5.822773743636187646e+03 2.604293956450670521e+03
2.118844133999998576e+02 5.682112537286003317e+03 2.501126169594785551e+03
2.119395284999998523e+02 5.546953334563632779e+03 2.404534734440957891e+03
2.119946435999998471e+02 5.416950223349253065e+03 2.313931321801238028e+03
2.120497586999998418e+02 5.291787825024270205e+03 2.228794602728243717e+03
2.121048737999998366e+02 5.171177862105043459e+03 2.148661069037601465e+03
2.121599888999998313e+02 5.054856190249586689e+03 2.073117312937782117e+03
2.122151039999998261e+02 4.942580221720132613e+03 2.001793503404521289e+03
2.122702190999998209e+02 4.834126680341121755e+03 1.934357849319819479e+03
2.123253341999998156e+02 4.729289638391427616e+03 1.870511880329106816e+03
2.123804492999998104e+02 4.627878794264567659e+03 1.809986408563569285e+03
2.124355643999998051e+02 4.529717956544126537e+03 1.752538059849107640e+03
