timestep	potential_energy	temperature
0	-0.1500585079	0
100000	-474.0540771	0.450376153
200000	-501.9002075	0.6672813892
300000	-608.463623	0.8239837885
400000	-747.654541	0.905215323
500000	-804.760437	0.9536823034
600000	-915.8269043	0.9757782221
700000	-1054.919189	0.9938473105
800000	-1179.670532	1.011436462
900000	-1219.000488	1.016539931
1000000	-1290.449219	1.024658322
1100000	-1426.151855	1.02583921
1200000	-1494.067871	1.01631701
1300000	-1507.980225	1.022272468
1400000	-1635.168457	1.019815445
1500000	-1702.469604	1.016397476
1600000	-1848.032959	1.028309584
1700000	-1945.297485	1.024473786
1800000	-2009.355957	1.027967334
1900000	-2133.427734	1.014675856
2000000	-2207.509033	1.021412611
2100000	-2344.170898	1.032920361
2200000	-2444.606934	1.035050988
2300000	-2504.952637	1.036625028
2400000	-2596.481201	1.030419469
2500000	-2676.428223	1.028432727
2600000	-2716.367676	1.024160028
2700000	-2701.636719	1.02257514
2800000	-2802.601807	1.009582043
2900000	-2923.320068	1.007462144
3000000	-2925.322754	1.010084391
3100000	-2979.648438	1.000317931
3200000	-3043.834961	1.005593657
3300000	-3150.060303	1.01739645
3400000	-3259.54248	1.026579738
3500000	-3328.499023	1.016219258
3600000	-3394.134277	1.002263904
3700000	-3536.498779	1.010254264
3800000	-3524.044434	1.010388136
3900000	-3697.951904	1.017106295
4000000	-3767.936523	1.03120482
4100000	-3844.890137	1.029606819
4200000	-3927.452393	1.013651371
4300000	-4049.716797	1.017533183
4400000	-4112.882812	1.012926459
4500000	-4241.634766	1.028780937
4600000	-4315.088379	1.044552565
4700000	-4390.791504	1.023739219
4800000	-4527.820801	1.026795149
4900000	-4595.719238	1.021312356
5000000	-4679.976562	1.030777335
5100000	-4676.495117	1.018038511
5200000	-4802.445801	1.016770959
5300000	-4852.560059	1.01981473
5400000	-4890.016602	1.016735315
5500000	-5009.354492	1.001648545
5600000	-5115.553711	1.015034795
5700000	-5181.447266	1.009243608
5800000	-5277.041992	1.01806128
5900000	-5401.821289	1.026021004
6000000	-5467.258789	1.030321956
6100000	-5511.14502	1.026723146
6200000	-5587.445312	1.029243708
6300000	-5563.297852	1.018025041
6400000	-5643.810547	1.021994948
6500000	-5716.514648	1.024893165
6600000	-5749.025391	1.015254498
6700000	-5808.880859	1.011970282
6800000	-5859.333496	1.022315979
6900000	-5853.606445	1.011402249
7000000	-5907.546875	1.027522922
7100000	-6034.983887	1.02322185
7200000	-6115.269043	1.027051806
7300000	-6173.349609	1.031854153
7400000	-6241.504883	1.013496637
7500000	-6336.345703	1.012055278
7600000	-6508.812012	1.032638192
7700000	-6516.584473	1.029464602
7800000	-6597.693359	1.034450769
7900000	-6732.65625	1.036821008
8000000	-6748.808105	1.028709173
8100000	-6866.444336	1.020677567
8200000	-6964.181641	1.004903316
8300000	-7041.59668	0.9894371033
8400000	-7116.657227	0.9917564988
8500000	-7124.076172	0.9864379764
8600000	-7227.662109	0.9915437698
8700000	-7322.400391	1.000490665
8800000	-7331.977539	1.001185536
8900000	-7468.008789	1.019998908
9000000	-7475.350586	1.022808194
9100000	-7529.432617	1.021877527
9200000	-7583.561035	1.005679846
9300000	-7692.439453	1.011060357
9400000	-7691.764648	1.012259126
9500000	-7689.421875	1.024317265
9600000	-7643.09082	1.024636745
9700000	-7681.605469	1.028503537
9800000	-7777.347168	1.034102917
9900000	-7944.194336	1.022782922
10000000	-7945.381836	1.000988007
10100000	-8035.584473	1.013246536
10200000	-8126.509766	1.00823307
10300000	-8106.892578	1.010187149
10400000	-8182.22168	1.004068851
10500000	-8185.588867	0.9997085929
10600000	-8323.923828	0.9993797541
10700000	-8365.337891	0.9852971435
10800000	-8437.976562	0.99178195
10900000	-8510.039062	1.004740238
11000000	-8518.895508	0.9947891831
11100000	-8605.578125	0.9986124635
11200000	-8561.388672	0.9952944517
11300000	-8735.625	1.015196204
11400000	-8808.382812	1.022899628
