timestep	potential_energy	temperature
0	0	0
50000	-557.2098389	0.3630845547
100000	-727.755249	0.5634880066
150000	-1033.80957	0.7220389843
200000	-1314.687744	0.8182057142
250000	-1524.102783	0.8916476965
300000	-1714.731201	0.9331951737
350000	-1868.347412	0.9606941938
400000	-2067.48584	0.9975866675
450000	-2304.398438	1.014369011
500000	-2564.085205	1.031208277
550000	-2777.442383	1.027661562
600000	-3023.517578	1.033630013
650000	-3289.914795	1.041292667
700000	-3505.282715	1.04720819
750000	-3661.152588	1.048771858
800000	-3784.206543	1.043526292
850000	-3971.061035	1.045518517
900000	-4140.244629	1.05683291
950000	-4402.145508	1.043349266
1000000	-4621.847168	1.051051974
1050000	-4934.111816	1.052260995
1100000	-5078.766113	1.054348707
1150000	-5195.048828	1.046863079
1200000	-5463.40918	1.044365168
1250000	-5633.003418	1.053002477
1300000	-5889.515625	1.061196804
1350000	-6013.098633	1.069401503
1400000	-6185.006348	1.062308431
1450000	-6322.143555	1.051403046
1500000	-6555.093262	1.050982714
1550000	-6721.458984	1.040189266
1600000	-6950.187988	1.047555804
1650000	-7120.348633	1.04034853
1700000	-7168.21875	1.039926648
1750000	-7336.474609	1.044273853
1800000	-7562.071289	1.051288486
1850000	-7834.533203	1.051047683
1900000	-8030.396973	1.055710554
1950000	-8155.598145	1.052204847
2000000	-8193.064453	1.047657371
2050000	-8399.748047	1.034947753
2100000	-8545.664062	1.030168533
2150000	-8697.495117	1.04274559
2200000	-8991.897461	1.046177149
2250000	-9031.738281	1.039366603
2300000	-9202.511719	1.036800742
2350000	-9262.104492	1.048677921
2400000	-9474.669922	1.043021441
2450000	-9651.049805	1.039858222
2500000	-9752.619141	1.034470439
2550000	-9911.074219	1.041970849
2600000	-10097.58691	1.040129066
2650000	-10220.9707	1.039123654
2700000	-10386.73828	1.044399381
2750000	-10488.53516	1.02460897
2800000	-10704.57324	1.037989736
2850000	-10838.19043	1.050466895
2900000	-10965.19434	1.042790532
2950000	-11081.74023	1.051984072
3000000	-11231.75781	1.049614429
3050000	-11345.70215	1.046468854
3100000	-11504.17773	1.05592823
3150000	-11527.01465	1.043155074
3200000	-11736.43359	1.054280758
3250000	-11809.21484	1.054326892
3300000	-12053.1084	1.060741186
3350000	-12095.73242	1.033874393
3400000	-12355.85938	1.045267701
3450000	-12480.22266	1.037018418
3500000	-12600.65039	1.035087824
3550000	-12590.20996	1.019542575
3600000	-12733.39844	1.017598867
3650000	-12861.54492	1.035626173
3700000	-13051.13477	1.039109349
3750000	-13239.12793	1.040779233
3800000	-13349.15625	1.036018133
3850000	-13519.07031	1.036020756
3900000	-13630.00488	1.040518641
3950000	-13732.33984	1.044918537
4000000	-13770.49219	1.031527281
4050000	-13836.45703	1.02521646
4100000	-14120.06152	1.044338226
4150000	-14292.2793	1.041267872
4200000	-14295.41406	1.027899623
4250000	-14480.75781	1.036833286
4300000	-14676.78223	1.043189526
4350000	-14702.2793	1.029929757
4400000	-14814.68164	1.033501506
4450000	-15011.86816	1.040848613
4500000	-15056.93652	1.016856313
4550000	-15312.8418	1.022570729
4600000	-15515.22168	1.041180134
4650000	-15526.04199	1.036923647
4700000	-15617.90527	1.016825199
4750000	-15665.25	1.007782817
4800000	-15800.14648	1.019738317
4850000	-15992.27344	1.015625954
4900000	-16015.07617	1.014681578
4950000	-16108.90234	1.005232215
5000000	-16294.86523	1.032316327
5050000	-16336.45508	1.036664963
5100000	-16420.36133	1.0359236
5150000	-16663.10156	1.042817354
5200000	-16723.52539	1.037787318
5250000	-16904.08594	1.040871382
5300000	-17037.81055	1.039006352
5350000	-17040.08203	1.037102699
5400000	-17243.0918	1.0443542
5450000	-17222.60547	1.025465965
5500000	-17410.69922	1.028930187
5550000	-17379.79297	1.027583718
5600000	-17543.80469	1.028922677
5650000	-17681.96289	1.021081924
5700000	-17727.67969	1.021693945
5750000	-17880.41016	1.035091162
5800000	-17995.20312	1.044522762
5850000	-17980.57812	1.029170632
5900000	-18164.65234	1.028704882
5950000	-18320.79297	1.026111603
6000000	-18414.04688	1.016401768
6050000	-18419.02734	1.00952208
6100000	-18536.13477	1.015425801
6150000	-18636.42188	1.01631391
6200000	-18729.375	1.013605475
6250000	-18902.48438	1.016890645
6300000	-19031.73242	1.028531194
6350000	-18928.97266	0.9977610707
6400000	-19081.71875	1.020420671
6450000	-19085.75781	1.023238063
6500000	-19148.77734	1.036057591
6550000	-19151.08984	1.036211967
6600000	-19204.25781	1.021355152
6650000	-19321.33594	1.019768476
6700000	-19450.49219	1.0056988
6750000	-19393.05078	1.003325343
6800000	-19619.41211	1.014958024
6850000	-19698.43164	1.017563701
6900000	-19905.80273	1.021766186
6950000	-19897.4375	1.018217444
7000000	-20007.65039	1.027271509
7050000	-20129.11328	1.029561639
7100000	-20250.80273	1.029988289
7150000	-20420.06641	1.030224919
7200000	-20553.01953	1.037164807
7250000	-20526.62891	1.030589461
7300000	-20563.85352	1.025083303
7350000	-20646.01953	1.040457964
7400000	-20768.4668	1.035759568
7450000	-20913.21289	1.019387484
7500000	-21013.61914	1.029461026
7550000	-21076.70703	1.015189767
7600000	-21261.22656	1.015426517
7650000	-21340.16406	1.021324754
7700000	-21322.84375	1.025801301
7750000	-21412.54102	1.01469183
7800000	-21492.26172	1.012944818
7850000	-21611.27148	1.00731051
7900000	-21676.06445	1.014980078
7950000	-21917.45703	1.035084248
8000000	-21832.07031	1.014594674
8050000	-21918.27344	1.003025174
8100000	-22053.35742	1.016285062
8150000	-22090.75781	1.012182713
8200000	-22136.125	1.01659739
8250000	-22184.52148	1.008268476
8300000	-22136.3418	1.006948233
8350000	-22184.13281	1.009898186
8400000	-22349.74414	1.009894848
8450000	-22474.10938	1.020301223
8500000	-22444.06055	1.005752683
8550000	-22544.47266	1.006498814
8600000	-22701.67969	1.004293799
8650000	-22652.50781	1.008859158
8700000	-22728.84766	1.00169301
8750000	-22802.98047	0.9977456331
8800000	-22983.44727	1.016975641
8850000	-22970.50586	1.017118692
8900000	-23008.88672	1.009160161
8950000	-23231.49219	1.027874947
9000000	-23362.77734	1.019908667
9050000	-23413.34375	1.018970132
9100000	-23448.50977	1.018821836
9150000	-23535.92969	1.026981831
9200000	-23623.25781	1.034261584
9250000	-23630.33008	1.020795465
9300000	-23621.34375	1.014582753
9350000	-23614.01562	1.01791358
9400000	-23579.67383	1.001534581
9450000	-23650.44336	1.007570386
9500000	-23822.61523	1.023753762
9550000	-23921.65234	1.011590362
9600000	-23977.04297	1.00912106
9650000	-24085.29688	1.026028395
9700000	-24160.38281	1.019547701
9750000	-24218.48047	1.026723623
9800000	-24179.875	1.013112187
9850000	-24293.66797	1.017214775
9900000	-24380.62109	1.015342236
9950000	-24213.30859	0.9857402444
10000000	-24430.625	1.014943242
10050000	-24421.49023	1.016637087
10100000	-24327.99414	1.009623289
10150000	-24278.18555	1.000913143
10200000	-24400.63867	1.001309156
10250000	-24583.48047	1.002327323
10300000	-24570.27734	1.007582307
10350000	-24586.5	1.011439085
10400000	-24596.39844	1.015495539
10450000	-24712.00977	1.006251454
10500000	-24732.9707	1.008864403
10550000	-24802.80078	1.008718014
10600000	-24836.92578	1.014912844
10650000	-25078.36328	1.01668179
10700000	-25115.53125	1.006343842
10750000	-25150.5293	1.005309105
10800000	-25147.78125	1.011052608
10850000	-25277.95117	1.017126918
10900000	-25380.81445	1.009206295
10950000	-25385.43359	1.008280516
11000000	-25419.76562	1.011335611
11050000	-25273.5625	1.00922358
11100000	-25421.39844	1.006670117
11150000	-25486.4375	1.006634831
11200000	-25473.15625	1.01444006
11250000	-25494.10156	0.9954724312
11300000	-25540.64648	1.006761432
11350000	-25615.28516	1.006690383
11400000	-25639.05078	1.01021409
11450000	-25731.47656	1.020238757
11500000	-25648.41797	1.01102829
11550000	-25681.23828	1.018745303
11600000	-25774.70703	1.024301767
11650000	-25659.55078	1.017494321
11700000	-25733.89648	1.024043083
11750000	-25762.91992	1.023778558
11800000	-25905.97266	1.017669439
11850000	-25907.57422	1.000400543
11900000	-25929.36719	1.015165091
11950000	-25958.10938	1.015504956
12000000	-25930.61719	1.010831237
12050000	-25873.73828	1.012400746
12100000	-25950.70312	0.998641789
12150000	-26060.08984	0.9930230975
12200000	-26177.88281	1.013198495
12250000	-26165.41016	1.006198049
12300000	-26216.61328	1.001921535
12350000	-26385.35938	1.014009833
12400000	-26481.99414	1.022795677
12450000	-26516.48047	1.007365823
12500000	-26525.45898	0.9992960095
12550000	-26514.23828	1.004394889
12600000	-26516.55469	1.004069805
12650000	-26536.87891	1.006992936
12700000	-26646.80469	0.9998155832
12750000	-26706.85547	1.002133965
12800000	-26811.94922	1.004338503
12850000	-26882.06836	1.003534317
12900000	-26846.875	0.9985250831
12950000	-27001.33203	1.016612053
13000000	-27043.54297	1.023436189
13050000	-26990.68359	1.005531788
13100000	-27128.18945	1.022366047
13150000	-27112.79297	1.014713407
13200000	-27198.77734	1.01505661
13250000	-27171.30078	1.011607289
13300000	-27040.31641	0.9910297394
13350000	-27225.22656	1.016559362
13400000	-27144.94922	1.000912428
13450000	-27300.25977	1.007001042
13500000	-27309.7832	1.012454629
13550000	-27322.0957	1.019902229
13600000	-27494.32031	1.022722125
13650000	-27574.51953	1.017521858
13700000	-27550.87891	1.018109322
13750000	-27599.73047	1.020457268
13800000	-27654.03711	1.017265916
13850000	-27521.04688	1.002530813
13900000	-27534.81445	0.9987965226
13950000	-27602.68164	0.9999031425
14000000	-27771.90625	0.9975812435
14050000	-27667.50391	0.9837287068
14100000	-27792.62109	1.00537014
14150000	-27875.59766	0.9965122342
14200000	-27938.625	1.008298516
14250000	-28142.94531	1.006418586
14300000	-28135.32617	0.994621098
14350000	-28252.84766	1.015634537
14400000	-28232.85352	1.017433643
14450000	-28395.10547	1.017650366
14500000	-28476.73438	1.025371552
14550000	-28414.70312	1.02214241
14600000	-28369.00781	1.016283035
14650000	-28436.69141	1.013831496
14700000	-28551.06641	1.012359619
14750000	-28424.52539	0.9974668622
14800000	-28487.45117	0.9987171292
14850000	-28674.94727	1.009062648
14900000	-28756.98828	1.019348025
14950000	-28712.95312	1.008067369
15000000	-28846.97852	1.013881683
15050000	-28865.17969	1.017416358
15100000	-28818.63281	1.012242079
15150000	-28770.73047	1.003545284
15200000	-28850.82422	1.001595974
15250000	-28872.31641	1.0113765
15300000	-28937.91016	1.006389856
15350000	-28869.24023	0.9931755066
15400000	-28922.39844	1.00569427
15450000	-29013.24023	1.002560377
15500000	-29068.30664	0.9985080957
15550000	-29214.23633	1.001679778
15600000	-29156.88281	0.9807014465
15650000	-29134.04297	0.9910386801
15700000	-29390.66406	1.010746837
15750000	-29222.36719	0.9888961315
15800000	-29242.10352	0.9909014106
15850000	-29287.67969	0.9948115349
15900000	-29422.9707	1.013473988
15950000	-29580.87695	1.027721763
16000000	-29644.34375	1.022296667
16050000	-29579.82031	1.01839304
16100000	-29638.25391	1.014908791
16150000	-29629.79102	1.001771092
16200000	-29773.73242	1.013004661
16250000	-29729.25391	1.00935638
16300000	-29791.80273	1.011819124
16350000	-29912.86133	1.018636584
16400000	-29874.19141	1.009380937
16450000	-29995.63281	1.022952676
16500000	-29972.83398	1.020490646
16550000	-29996.02148	1.01890111
16600000	-30105.28125	1.015709758
16650000	-30142.22461	1.012138724
16700000	-30287.94336	1.018548369
16750000	-30254.59766	1.012853622
16800000	-30194.47266	1.001345038
16850000	-30218.57812	0.9964287877
16900000	-30196.10547	1.00457108
16950000	-30246.78711	1.012298226
17000000	-30275.37891	1.004095078
17050000	-30261.61523	1.004726768
17100000	-30297.78906	1.019091487
17150000	-30215.91797	1.005645275
17200000	-30326.80469	1.014410496
17250000	-30386.97266	1.023793221
17300000	-30617.55469	1.030528307
17350000	-30574.33203	1.01789403
17400000	-30640.87305	1.002699018
17450000	-30754.42578	1.005160332
17500000	-30817.16602	1.009866476
17550000	-30987.23828	1.017558217
17600000	-30916.04297	1.019950151
17650000	-30926.99023	1.008740902
17700000	-31058.00781	1.01490438
17750000	-31027.60156	1.005596519
17800000	-30989.36914	1.01114738
17850000	-31000.11328	1.015531301
17900000	-31026.73438	1.022145152
17950000	-30933.68359	0.9989063144
18000000	-31061.82812	1.013973475
18050000	-31147.33203	1.01772511
18100000	-31181.45312	1.013803244
18150000	-31293.39844	1.003114462
18200000	-31360.0332	0.9991096258
18250000	-31261.84766	0.9783405662
18300000	-31458.47852	1.001911521
18350000	-31442.95312	1.006930232
18400000	-31542.88281	1.00894773
18450000	-31504.16406	0.9944095612
18500000	-31639.1875	1.009085059
18550000	-31664.22656	1.005637288
18600000	-31667.43359	1.007007718
18650000	-31856.12891	1.010206699
18700000	-31762.23828	1.000837684
18750000	-31915.6875	1.004084945
18800000	-31897.71484	1.007462144
18850000	-32082.89062	1.011564851
18900000	-32115.44336	1.011037111
18950000	-32110.32422	0.9940243959
19000000	-32169.23828	1.001214743
19050000	-32157.30664	1.006198049
19100000	-32232.68945	1.006249547
19150000	-32342.24219	1.024885774
19200000	-32349.08789	1.015759826
19250000	-32344.87695	1.018361211
19300000	-32410.14844	1.010904551
19350000	-32383.26562	1.017364502
19400000	-32309.62891	1.016689181
19450000	-32387.42188	1.015922308
19500000	-32528.91016	1.015674591
19550000	-32605.81836	1.018427014
19600000	-32490.77344	1.009480834
19650000	-32548.93359	1.010542631
19700000	-32573.39258	1.015161514
19750000	-32477.60742	1.002221346
19800000	-32457.7168	0.9935343266
19850000	-32556.08984	1.001407981
19900000	-32590.39453	1.011517525
19950000	-32646.06055	0.9985966086
20000000	-32688.69336	1.002833605
20050000	-32993.16797	1.027838588
20100000	-32860.29297	1.006438494
20150000	-32780.75391	1.001516581
20200000	-32767.45508	1.010326385
20250000	-32980.90625	1.022423267
20300000	-32924.23047	1.001141906
20350000	-33042.87109	1.007199764
20400000	-32971.15625	1.00087297
20450000	-32932.54688	0.9973109365
20500000	-33063.19922	1.01693809
20550000	-33054.06641	1.016527295
20600000	-33100.50781	1.018544078
20650000	-32991.48438	0.9994837046
20700000	-33187.57422	1.018800497
20750000	-33221.69531	1.026616693
20800000	-33236.80859	1.028157234
20850000	-33228.51562	1.022448063
20900000	-33197.33594	1.023276091
20950000	-33250.60547	1.01505208
21000000	-33479.00781	1.007891059
21050000	-33490.42188	0.988713026
21100000	-33484.62109	0.990937531
21150000	-33516.36328	1.002952099
21200000	-33529.58984	1.000498414
21250000	-33541.57812	1.005572438
21300000	-33684.13281	1.012830019
21350000	-33636.14844	1.006711483
21400000	-33633.96875	1.012930036
21450000	-33656.32031	0.999612391
21500000	-33612.36719	0.9960576892
21550000	-33741.63281	1.00313592
21600000	-33781.91406	1.005779147
21650000	-33802.17969	1.008059025
21700000	-33979.3125	1.013764143
21750000	-33985.80859	1.010302305
21800000	-34078.51172	1.008103251
21850000	-34258.55469	1.004601955
21900000	-34063.69531	0.9929428101
21950000	-34195.29297	1.007883668
22000000	-34194.67188	0.9951279759
22050000	-34146.48438	0.9875894785
22100000	-34212.82812	0.9926276803
22150000	-34472.21484	1.007411003
22200000	-34436.33594	1.009403229
22250000	-34442.81641	1.008831024
22300000	-34393.53125	1.00487113
22350000	-34383.75781	1.004373074
22400000	-34510.12109	1.014421701
22450000	-34653.50781	1.030214906
22500000	-34589.25	1.024804831
22550000	-34677.46484	1.017627835
22600000	-34743.125	1.031644344
22650000	-34737.23438	1.019650459
22700000	-34522.53125	1.000904322
22750000	-34609.79688	0.9989299178
22800000	-34617.38281	1.000604868
22850000	-34648.79688	1.00494802
22900000	-34659.72656	1.003236175
22950000	-34743.69531	1.010984421
23000000	-34645.61719	0.9988813996
